Expenditure on Completed and On-going Works as on Date,,,,,,,,,,
Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
39636,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219384,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,29-Jan-2026,shri Ganpati Tiles Matti,Payment Success,17500
39637,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219377,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,29-Jan-2026,shri Ganpati Tiles Matti,Payment Success,35000
39638,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219377,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,29-Jan-2026,shri Ganpati Tiles Matti,Payment Success,17500
39639,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219258,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,29-Jan-2026,shri Ganpati Tiles Matti,Payment Success,35000
39640,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219258,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,29-Jan-2026,shri Ganpati Tiles Matti,Payment Success,35000
39641,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219258,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,29-Jan-2026,shri Ganpati Tiles Matti,Payment Success,35000
39642,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219259,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,29-Jan-2026,shri Ganpati Tiles Matti,Payment Success,35000
39643,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219259,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,29-Jan-2026,shri Ganpati Tiles Matti,Payment Success,35000
39644,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219259,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,29-Jan-2026,shri Ganpati Tiles Matti,Payment Success,17500
39645,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219320,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,21000
39646,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219320,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,21000
39647,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219320,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,28000
39648,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219315,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,21000
39649,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219315,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,21000
39650,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219315,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,21000
39651,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219315,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,7000
39652,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219326,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,24500
39653,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219326,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,24500
39654,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219326,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,17500
39655,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219326,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,21000
39656,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219328,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,35000
39657,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219328,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,17500
39658,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219328,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,17500
39659,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219238,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,24500
39660,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219238,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,28000
39661,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219317,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,21000
39662,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219317,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,21000
39663,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219317,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,28000
39664,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219255,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,24500
39665,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219255,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,06-Jan-2026,shri Ganpati Tiles Matti,Payment Success,28000
39666,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219383,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,35000
39667,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219383,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,17500
39668,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219253,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,35000
39669,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219253,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,35000
39670,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219248,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,28000
39671,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219248,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,24500
39672,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/214344,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,17500
39673,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/214344,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,35000
39674,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219252,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,35000
39675,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219252,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,17500
39676,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219324,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,35000
39677,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219324,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,35000
39678,Punjab,Fitting of Sitting RCC Benches in Public Places,WS/MP18314/2025-2026/219324,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,27-Nov-2025,shri Ganpati Tiles Matti,Payment Success,35000
39679,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP432/2025-2026/180773,UNA(DEPUTY COMMISSIOENR UNA_IDA),Anurag Singh Thakur,HAMIRPUR_HP,21-Jan-2026,GP TIHRA,Payment Success,20000
39680,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP432/2025-2026/180774,UNA(DEPUTY COMMISSIOENR UNA_IDA),Anurag Singh Thakur,HAMIRPUR_HP,16-Apr-2026,GP TIHRA,Payment Success,50000
39681,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP432/2025-2026/180772,UNA(DEPUTY COMMISSIOENR UNA_IDA),Anurag Singh Thakur,HAMIRPUR_HP,06-Mar-2026,GP TIHRA,Payment Success,20000
39682,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP432/2025-2026/180773,UNA(DEPUTY COMMISSIOENR UNA_IDA),Anurag Singh Thakur,HAMIRPUR_HP,12-Jun-2025,GP TIHRA,Payment Success,80000
39683,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP432/2025-2026/180774,UNA(DEPUTY COMMISSIOENR UNA_IDA),Anurag Singh Thakur,HAMIRPUR_HP,12-Jun-2025,GP TIHRA,Payment Success,150000
39684,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP432/2025-2026/180772,UNA(DEPUTY COMMISSIOENR UNA_IDA),Anurag Singh Thakur,HAMIRPUR_HP,12-Jun-2025,GP TIHRA,Payment Success,80000
39685,Bihar,Lighting of public spaces,WS/MP18039/2024-2025/150039,KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA),RAJESH VERMA,KHAGARIA,06-Jun-2025,RAJ INFRASTRUCTURE,Payment Success,997000
39686,Bihar,Lighting of public spaces,WS/MP18039/2024-2025/150041,KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA),RAJESH VERMA,KHAGARIA,06-Jun-2025,RAJ INFRASTRUCTURE,Payment Success,997000
39687,Bihar,Lighting of public spaces,WS/MP18039/2024-2025/150038,KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA),RAJESH VERMA,KHAGARIA,06-Jun-2025,RAJ INFRASTRUCTURE,Payment Success,997000
39688,Bihar,Lighting of public spaces,WS/MP18039/2024-2025/150042,KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA),RAJESH VERMA,KHAGARIA,31-May-2025,RAJ INFRASTRUCTURE,Payment Success,997000
39689,Bihar,Lighting of public spaces,WS/MP18039/2024-2025/150040,KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA),RAJESH VERMA,KHAGARIA,31-May-2025,RAJ INFRASTRUCTURE,Payment Success,997000
39690,Telangana,Construction of community centers and community halls,WS/MP18194/2025-2026/228384,KAMAREDDY(District Collector Kamareddy_IDA),SURESH KUMAR SHETKAR,ZAHIRABAD,30-Dec-2025,GANNAMANENI MAHENDER RAO,Payment Success,300000
39691,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/196734,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),21-Sep-2025,Dinesh,Payment Success,49800
39692,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/196734,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),21-Sep-2025,Dinesh,Payment Success,55200
39693,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/196734,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),20-Jul-2025,Dinesh,Payment Success,9600
39694,Jammu And Kashmir,Construction of boundary walls of existing public and community buildings,WS/MP600/2024-2025/147997,DODA(Deputy Commissioner Doda_IDA),Jitendra Singh,UDHAMPUR,12-Jun-2025,Imtiaz Ahmed,Payment Success,194000
39695,Andhra Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP18014/2024-2025/167547,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),09-Jun-2025,BIJJAM PENCHALREDDY,Payment Success,349979
39696,Madhya Pradesh,Construction of culverts and bridges,WS/MP18109/2024-2025/146900,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,04-Jun-2025,Gram panchayat mata,Payment Success,105000
39697,Madhya Pradesh,Construction of culverts and bridges,WS/MP18109/2024-2025/146900,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,04-Jun-2025,Gram panchayat mata,Payment Success,81500
39698,Madhya Pradesh,Construction of culverts and bridges,WS/MP18109/2024-2025/146900,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,04-Jun-2025,Gram panchayat mata,Payment Success,41350
39699,Madhya Pradesh,Construction of culverts and bridges,WS/MP18109/2024-2025/146900,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,04-Jun-2025,Gram panchayat mata,Payment Success,11350
39700,Madhya Pradesh,Construction of culverts and bridges,WS/MP18109/2024-2025/146900,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,04-Jun-2025,Gram panchayat mata,Payment Success,10800
39701,Madhya Pradesh,Construction of culverts and bridges,WS/MP18109/2024-2025/146900,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,01-Aug-2025,Gram panchayat mata,Payment Success,30000
39702,Madhya Pradesh,Construction of culverts and bridges,WS/MP18109/2024-2025/146900,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,01-Aug-2025,Gram panchayat mata,Payment Success,24990
39703,Madhya Pradesh,Construction of culverts and bridges,WS/MP18109/2024-2025/146900,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,01-Aug-2025,Gram panchayat mata,Payment Success,155146
39704,Madhya Pradesh,Construction of culverts and bridges,WS/MP18109/2024-2025/146900,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DR. RAJESH MISHRA,SIDHI,01-Aug-2025,Gram panchayat mata,Payment Success,39804
39705,Uttarakhand,Construction of bus-sheds or bus-stops,WS/MP478/2025-2026/196466,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,20-Mar-2026,DOGRA ART,Payment Success,1000
39706,Uttarakhand,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP478/2025-2026/243391,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,01-Aug-2026,DOGRA ART,Payment Success,1000
39707,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP478/2025-2026/243399,Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,16-Apr-2026,DOGRA ART,Payment Success,1000
39708,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP578/2025-2026/214281,NARMADA(DISTRICT COLLECTOR NARMADA_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,11-Mar-2026,AMBAVADI GROUP GRAM PANCHAYAT,Payment Success,200000
39709,Gujarat,Construction of boundary walls of existing public and community buildings,WS/MP578/2025-2026/248557,NARMADA(DISTRICT COLLECTOR NARMADA_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,22-Jul-2026,AMBAVADI GROUP GRAM PANCHAYAT,Payment Success,500000
39710,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP345/2024-2025/156680,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,30-Jun-2025,SHAJI M S,Payment Success,618503
39711,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP345/2024-2025/161521,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,16-Apr-2026,SREEKUMAR R,Payment Success,465488
39712,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP345/2024-2025/161518,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,17-Nov-2025,RAJENDRA PRASAD B,Payment Success,780769
39713,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP345/2025-2026/220972,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,22-Jun-2026,RAJENDRA PRASAD B,Payment Success,770083
39714,West Bengal,Construction of community centers and community halls,WS/MP867/2024-2025/151535,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),Sudip Bandyopadhyay,KOLKATA UTTAR,10-Feb-2026,UNIQUE CONSTRUCTION,Payment Success,5000000
39715,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP345/2024-2025/156679,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,05-Jun-2025,RAJEEV K R,Payment Success,569369
39716,Telangana,Installing tube-wells and borewells,WS/MP770/2025-2026/181635,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Sanjay Kumar Bandi,KARIMNAGAR,02-Aug-2025,KATHALAPOOR MAHESH,Payment Success,175773
39717,Telangana,Installing tube-wells and borewells,WS/MP770/2025-2026/181632,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Sanjay Kumar Bandi,KARIMNAGAR,02-Aug-2025,KATHALAPOOR MAHESH,Payment Success,177195
39718,Telangana,Installing tube-wells and borewells,WS/MP770/2025-2026/181630,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Sanjay Kumar Bandi,KARIMNAGAR,26-Sep-2025,KATHALAPOOR MAHESH,Payment Success,198575
39719,Jammu And Kashmir,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP600/2024-2025/148034,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,13-Jun-2025,SURINDER PAUL SINGH,Payment Success,124500
39720,Jammu And Kashmir,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP600/2024-2025/148237,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,13-Jun-2025,SURINDER SHARMA,Payment Success,118500
39721,Jammu And Kashmir,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP600/2024-2025/148268,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,23-Jun-2025,SURINDER SHARMA,Payment Success,120000
39722,Jammu And Kashmir,Construction of footpaths and pedestrian ways,WS/MP600/2024-2025/158901,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,10-Sep-2025,SURINDER SHARMA,Payment Success,118500
39723,Jammu And Kashmir,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP600/2024-2025/159381,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,10-Sep-2025,SURINDER SHARMA,Payment Success,114000
39724,Jammu And Kashmir,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP600/2024-2025/148167,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,10-Sep-2025,SURINDER SHARMA,Payment Success,114000
39725,Jammu And Kashmir,Construction of footpaths and pedestrian ways,WS/MP600/2025-2026/179236,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,28-Mar-2026,SURINDER SHARMA,Payment Success,132000
39726,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/270890,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,23-Aug-2026,NAVKANJ ASSOCIATES,Payment Success,88717
39727,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/271210,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,23-Aug-2026,NAVKANJ ASSOCIATES,Payment Success,102276
39728,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/270899,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,23-Aug-2026,NAVKANJ ASSOCIATES,Payment Success,94314
39729,Madhya Pradesh,Providing supply pipelines for drinking water,WS/MP650/2025-2026/270897,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,23-Aug-2026,NAVKANJ ASSOCIATES,Payment Success,89912
39730,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/270895,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,23-Aug-2026,NAVKANJ ASSOCIATES,Payment Success,99970
39731,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/270891,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,23-Aug-2026,NAVKANJ ASSOCIATES,Payment Success,98115
39732,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/271215,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,23-Aug-2026,NAVKANJ ASSOCIATES,Payment Success,95365
39733,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2025-2026/271214,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,23-Aug-2026,NAVKANJ ASSOCIATES,Payment Success,89695
39734,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179087,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,06-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,432339
39735,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179071,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,06-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,438460
39736,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179088,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,06-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,443448
39737,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179070,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,09-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,432201
39738,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179094,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,09-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,427035
39739,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179095,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,09-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,432910
39740,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179075,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,12-Jun-2025,NAVKANJ ASSOCIATES,Payment Success,426188
39741,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179085,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,24-Jul-2025,NAVKANJ ASSOCIATES,Payment Success,413679
39742,Madhya Pradesh,Installing tube-wells and borewells,WS/MP650/2024-2025/179084,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,24-Jul-2025,NAVKANJ ASSOCIATES,Payment Success,433019
